   REVISION                        ACTIVE  SERVICE           DEPLOYED                 DEPLOYED BY
+  scorenix-backend-00044-8q5              scorenix-backend  2026-03-20 13:03:45 UTC  miso87254591@gmail.com
+  scorenix-backend-00043-psw              scorenix-backend  2026-03-20 04:22:59 UTC  miso87254591@gmail.com
+  scorenix-backend-00042-pm6              scorenix-backend  2026-03-20 03:11:33 UTC  miso87254591@gmail.com
+  scorenix-backend-00041-qld              scorenix-backend  2026-03-19 20:12:39 UTC  miso87254591@gmail.com
+  scorenix-backend-00040-qxz              scorenix-backend  2026-03-19 19:51:29 UTC  miso87254591@gmail.com
+  scorenix-backend-00039-vsp              scorenix-backend  2026-03-19 19:43:20 UTC  miso87254591@gmail.com
+  scorenix-backend-00038-tzx              scorenix-backend  2026-03-19 19:32:44 UTC  miso87254591@gmail.com
+  scorenix-backend-00037-6p8              scorenix-backend  2026-03-19 19:14:22 UTC  miso87254591@gmail.com
+  scorenix-backend-00036-jqq              scorenix-backend  2026-03-19 18:28:33 UTC  miso87254591@gmail.com
+  scorenix-backend-00035-wt8              scorenix-backend  2026-03-19 18:13:47 UTC  miso87254591@gmail.com
+  scorenix-backend-00034-cbn              scorenix-backend  2026-03-19 16:20:41 UTC  miso87254591@gmail.com
+  scorenix-backend-00033-h84              scorenix-backend  2026-03-19 15:46:04 UTC  miso87254591@gmail.com
+  scorenix-backend-00032-4jj              scorenix-backend  2026-03-19 13:35:20 UTC  miso87254591@gmail.com
+  scorenix-backend-00031-n72              scorenix-backend  2026-03-19 11:45:21 UTC  miso87254591@gmail.com
+  scorenix-backend-00030-bd5              scorenix-backend  2026-03-19 09:48:42 UTC  miso87254591@gmail.com
+  scorenix-backend-00029-dnf              scorenix-backend  2026-03-19 09:37:58 UTC  miso87254591@gmail.com
+  scorenix-backend-00028-pv2              scorenix-backend  2026-03-19 09:10:05 UTC  miso87254591@gmail.com
+  scorenix-backend-00027-r9r              scorenix-backend  2026-03-19 08:46:44 UTC  miso87254591@gmail.com
+  scorenix-backend-00026-zzr              scorenix-backend  2026-03-19 08:29:33 UTC  miso87254591@gmail.com
+  scorenix-backend-00025-79n              scorenix-backend  2026-03-19 08:17:09 UTC  miso87254591@gmail.com
+  scorenix-backend-00024-c7q              scorenix-backend  2026-03-19 00:01:06 UTC  miso87254591@gmail.com
+  scorenix-backend-00023-wh2              scorenix-backend  2026-03-18 10:36:53 UTC  miso87254591@gmail.com
+  scorenix-backend-00022-c49              scorenix-backend  2026-03-18 10:33:11 UTC  miso87254591@gmail.com
+  scorenix-backend-00021-c8z              scorenix-backend  2026-03-18 10:02:26 UTC  miso87254591@gmail.com
+  scorenix-backend-00020-29b              scorenix-backend  2026-03-18 10:00:22 UTC  miso87254591@gmail.com
+  scorenix-backend-00019-psg              scorenix-backend  2026-03-18 09:51:15 UTC  miso87254591@gmail.com
+  scorenix-backend-00018-qjz              scorenix-backend  2026-03-13 12:36:20 UTC  miso87254591@gmail.com
+  scorenix-backend-00017-qc8              scorenix-backend  2026-03-13 12:29:41 UTC  miso87254591@gmail.com
+  scorenix-backend-00016-xxs              scorenix-backend  2026-03-13 12:19:14 UTC  miso87254591@gmail.com
+  scorenix-backend-00015-5kc              scorenix-backend  2026-03-13 11:48:43 UTC  miso87254591@gmail.com
+  scorenix-backend-00014-rp5              scorenix-backend  2026-03-12 16:42:11 UTC  miso87254591@gmail.com
+  scorenix-backend-00013-jt8              scorenix-backend  2026-02-25 05:00:37 UTC  miso87254591@gmail.com
+  scorenix-backend-00012-s2g              scorenix-backend  2026-02-25 04:19:36 UTC  miso87254591@gmail.com
+  scorenix-backend-00011-9rx              scorenix-backend  2026-02-25 03:00:02 UTC  miso87254591@gmail.com
+  scorenix-backend-00010-pcq              scorenix-backend  2026-02-25 01:15:57 UTC  miso87254591@gmail.com
+  scorenix-backend-00009-8f5              scorenix-backend  2026-02-24 12:01:37 UTC  miso87254591@gmail.com
+  scorenix-backend-00008-sls              scorenix-backend  2026-02-24 11:56:58 UTC  miso87254591@gmail.com
+  scorenix-backend-00007-4dh              scorenix-backend  2026-02-24 10:16:16 UTC  miso87254591@gmail.com
+  scorenix-backend-00006-mxt              scorenix-backend  2026-02-24 08:39:11 UTC  miso87254591@gmail.com
+  scorenix-backend-00005-9cc              scorenix-backend  2026-02-24 08:20:11 UTC  miso87254591@gmail.com
+  scorenix-backend-00004-jzr              scorenix-backend  2026-02-24 08:10:27 UTC  miso87254591@gmail.com
+  scorenix-backend-00003-6gz              scorenix-backend  2026-02-24 03:22:43 UTC  miso87254591@gmail.com
+  scorenix-backend-00002-t6t              scorenix-backend  2026-02-22 08:05:19 UTC  miso87254591@gmail.com
+  scorenix-backend-00001-w9s              scorenix-backend  2026-02-22 04:49:09 UTC  miso87254591@gmail.com
